iter, depth, exp const, x_car, y_car, x_amb, y_amb, vx_amb, vy_amb, discounted reward
200,50,1,8,8,10,1,1,1,582.853064
200,50,21,8,8,10,1,1,1,590.0547119
200,50,41,8,8,10,1,1,1,596.0481778
200,50,61,8,8,10,1,1,1,596.0481778
200,50,81,8,8,10,1,1,1,596.0481778
200,50,101,8,8,10,1,1,1,596.0481778
200,50,121,8,8,10,1,1,1,582.853064
200,50,141,8,8,10,1,1,1,582.853064
200,50,161,8,8,10,1,1,1,582.853064
200,50,181,8,8,10,1,1,1,610.1163569
200,50,201,8,8,10,1,1,1,610.1163569
200,50,221,8,8,10,1,1,1,610.1163569
200,50,241,8,8,10,1,1,1,610.1163569
200,50,261,8,8,10,1,1,1,610.1163569
200,50,281,8,8,10,1,1,1,610.1163569
200,50,301,8,8,10,1,1,1,610.1163569
200,50,321,8,8,10,1,1,1,610.1163569
200,50,341,8,8,10,1,1,1,610.1163569
200,50,361,8,8,10,1,1,1,610.1163569
200,50,381,8,8,10,1,1,1,610.1163569
200,50,401,8,8,10,1,1,1,610.1163569
200,50,421,8,8,10,1,1,1,610.1163569
200,50,441,8,8,10,1,1,1,610.1163569
200,50,461,8,8,10,1,1,1,610.1163569
200,50,481,8,8,10,1,1,1,610.1163569
200,50,501,8,8,10,1,1,1,610.1163569
200,50,521,8,8,10,1,1,1,610.1163569
200,50,541,8,8,10,1,1,1,610.1163569
200,50,561,8,8,10,1,1,1,610.1163569
200,50,581,8,8,10,1,1,1,610.1163569
200,50,601,8,8,10,1,1,1,610.1163569
200,50,621,8,8,10,1,1,1,610.1163569
200,50,641,8,8,10,1,1,1,610.1163569
200,50,661,8,8,10,1,1,1,610.1163569
200,50,681,8,8,10,1,1,1,610.1163569
200,50,701,8,8,10,1,1,1,610.1163569
200,50,721,8,8,10,1,1,1,610.1163569
200,50,741,8,8,10,1,1,1,610.1163569
200,50,761,8,8,10,1,1,1,610.1163569
200,50,781,8,8,10,1,1,1,610.1163569
200,50,801,8,8,10,1,1,1,610.1163569
200,50,821,8,8,10,1,1,1,610.1163569
200,50,841,8,8,10,1,1,1,610.1163569
200,50,861,8,8,10,1,1,1,610.1163569
200,50,881,8,8,10,1,1,1,610.1163569
200,50,901,8,8,10,1,1,1,610.1163569
200,50,921,8,8,10,1,1,1,610.1163569
200,50,941,8,8,10,1,1,1,610.1163569
200,50,961,8,8,10,1,1,1,610.1163569
200,50,981,8,8,10,1,1,1,610.1163569
